#ref_rl	read_1	read_2	read_3	read_4	read_5	read_6	read_7	read_8	read_9	read_10	read_11	read_12	read_13	read_14	read_15	read_16	read_17	read_18	read_19	read_20	read_21	read_22	read_23	read_24	read_25	read_26	read_27	read_28	read_29	read_30	read_31	read_32	read_33	read_34	read_35	read_36	read_37	read_38	read_39	read_40	read_41	read_42	read_43	read_44	read_45	read_46	read_47	read_48	read_49	read_50	read_51	read_52	read_53	read_54	read_55	read_56	read_57	read_58	read_59	read_60	read_61	read_62	read_63	read_64	read_65	read_66	read_67	read_68	read_69	read_70	read_71	read_72	read_73	read_74	read_75	read_76	read_77	read_78	read_79	read_80	read_81	read_82	read_83	read_84	read_85	read_86	read_87	read_88	read_89	read_90	read_91	read_92	read_93	read_94	read_95	read_96	read_97	read_98	read_99	read_100+
32	1349	1455	1384	1208	1298	1150	1109	979	782	723	698	645	681	735	738	838	844	923	990	1131	1153	1304	1328	1400	1529	1622	1633	1515	1655	2213	4892	30384	456	292	195	131	106	102	71	85	37	35	54	71	43	13	40	7	13	14	9	20	11	15	5	14	3	0	0	1	7	0	2	0	1	7	0	2	1	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	1030	1155	1063	1034	1038	916	775	788	661	542	581	499	513	536	597	611	645	732	730	768	842	869	962	1072	1177	1130	1243	1150	1184	1250	1675	3721	22328	365	198	114	86	48	50	54	29	33	13	10	34	25	19	19	16	7	9	0	3	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	693	756	731	725	677	636	573	613	543	417	361	336	348	319	372	416	419	477	488	463	491	604	667	639	682	736	757	794	787	698	834	1126	2402	15289	217	100	55	45	32	11	10	15	20	34	34	9	31	1	1	16	2	0	0	0	2	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	726	748	691	694	634	574	515	447	427	391	359	320	338	342	366	374	380	406	441	458	514	516	566	618	667	671	689	746	774	721	783	805	1120	2215	14383	204	90	60	28	10	18	25	9	10	11	11	30	3	3	9	7	2	0	3	0	1	2	0	1	0	0	1	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	578	696	559	576	578	477	440	396	362	341	319	288	282	276	322	312	300	354	372	357	370	436	470	462	524	539	580	571	596	599	551	579	606	891	1802	11901	150	86	34	30	19	11	12	9	25	15	22	6	2	20	1	7	1	14	0	2	0	0	2	0	12	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	627	655	631	537	596	491	473	457	422	343	320	275	299	270	305	323	344	343	374	376	379	425	419	506	520	538	582	582	581	617	574	652	632	654	881	1775	12197	137	51	38	27	15	21	7	3	3	2	14	15	7	0	7	3	10	1	0	2	1	1	1	1	1	6	7	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	573	672	588	535	543	534	532	458	396	356	312	293	289	276	284	312	316	333	333	376	362	407	414	438	515	503	495	508	561	509	545	591	575	603	627	923	1665	11214	123	53	32	15	13	22	20	10	15	14	23	7	3	0	1	2	10	0	2	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	542	601	554	507	510	489	428	423	354	310	309	245	273	211	263	259	249	262	269	292	280	317	362	361	431	450	437	419	485	469	479	456	513	496	497	608	799	1424	9804	100	47	26	15	22	19	1	6	3	5	6	1	1	13	2	11	1	8	0	0	0	7	0	2	0	0	2	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	461	504	450	494	457	413	363	346	332	254	257	241	202	220	241	234	243	254	258	232	277	288	255	283	344	353	351	324	349	375	392	372	375	433	450	421	481	654	1103	8095	109	31	22	9	6	36	15	2	6	5	15	0	2	3	1	12	2	1	12	1	1	2	0	0	0	0	0	0	0	0	1	5	0	5	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	354	402	370	367	373	356	312	285	231	206	198	188	185	175	197	180	192	203	211	211	238	239	217	261	283	278	248	302	307	252	284	292	318	321	317	344	364	391	580	889	6792	58	14	15	11	14	30	2	2	1	2	1	1	0	0	0	1	6	1	0	1	4	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
