#ref_rl	read_1	read_2	read_3	read_4	read_5	read_6	read_7	read_8	read_9	read_10	read_11	read_12	read_13	read_14	read_15	read_16	read_17	read_18	read_19	read_20	read_21	read_22	read_23	read_24	read_25	read_26	read_27	read_28	read_29	read_30	read_31	read_32	read_33	read_34	read_35	read_36	read_37	read_38	read_39	read_40	read_41	read_42	read_43	read_44	read_45	read_46	read_47	read_48	read_49	read_50	read_51	read_52	read_53	read_54	read_55	read_56	read_57	read_58	read_59	read_60	read_61	read_62	read_63	read_64	read_65	read_66	read_67	read_68	read_69	read_70	read_71	read_72	read_73	read_74	read_75	read_76	read_77	read_78	read_79	read_80	read_81	read_82	read_83	read_84	read_85	read_86	read_87	read_88	read_89	read_90	read_91	read_92	read_93	read_94	read_95	read_96	read_97	read_98	read_99	read_100+
45	2	1	1	1	1	2	1	0	1	1	0	5	1	1	1	3	1	0	3	0	1	2	0	2	0	1	2	0	0	0	0	0	0	0	0	0	1	2	8	5	8	28	231	571	917	442	238	72	28	9	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	5	1	1	3	0	1	2	0	0	1	0	0	0	0	1	1	0	0	2	3	2	3	0	2	0	1	0	0	1	1	2	1	0	0	3	2	0	0	0	1	0	3	37	221	577	848	430	217	59	20	3	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	5	1	1	3	0	3	0	0	3	1	1	0	0	0	3	2	2	1	2	4	1	1	1	0	1	4	1	0	1	2	3	6	1	1	2	0	2	2	1	1	2	0	7	40	251	595	935	485	208	60	9	15	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	0	0	1	1	1	1	1	1	1	0	0	0	3	0	1	1	1	1	0	0	0	0	0	1	1	1	2	2	1	0	1	2	0	3	1	1	0	0	2	1	1	1	1	4	53	212	434	630	374	144	44	11	2	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	1	3	0	4	0	1	1	1	0	1	0	2	0	1	0	0	1	0	1	0	2	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	1	0	2	1	0	1	3	1	6	27	178	435	668	334	142	51	21	5	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	1	0	0	0	0	2	0	0	1	2	0	0	1	0	0	0	1	0	0	1	1	1	2	7	5	2	2	1	0	1	0	0	0	1	1	0	2	1	2	0	1	1	1	3	3	10	34	125	288	442	223	116	39	12	4	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	3	1	0	0	1	0	2	0	2	1	0	0	3	0	1	0	1	1	0	2	0	5	1	0	1	0	1	1	0	0	0	1	1	0	1	0	1	0	0	0	0	1	1	0	1	1	6	40	163	331	483	284	119	55	17	6	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	0	1	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	4	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0	1	5	23	95	216	304	159	99	40	6	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	0	0	0	0	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	1	0	4	26	69	153	228	125	54	16	6	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	4	0	0	0	2	2	2	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	3	30	103	229	310	175	79	24	15	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
